subject,question,passage,choice1,choice2,choice3,choice4,answer,explanation,level,option1,option2,option3,option4,option5
한국사,"신라의 삼국 통일에 결정적인 역할을 한 화랑은?","없음","김유신","관창","사다함","을지문덕",0,"김유신은 화랑이자 신라의 장군으로 삼국 통일에 큰 공을 세웠습니다.",2,인물,삼국시대,,,
한국사,"고려 시대의 수도는?","없음","한양","개경","경주","평양",1,"고려 시대의 수도는 개경입니다.",1,고려시대,,,,
한국사,"조선 시대의 수도는?","없음","개경","한양","평양","경주",1,"조선 시대의 수도는 한양이었습니다.",1,조선시대,,,,
한국사,"훈민정음을 창제한 왕은?","없음","세종대왕","태종","세조","문종",0,"훈민정음은 세종대왕이 창제했습니다.",1,조선시대,인물,,
한국사,"거북선을 만든 인물은?","없음","김유신","이순신","장영실","권율",1,"이순신 장군이 거북선을 만들었습니다.",1,인물,조선시대,,
한국사,"독립운동가 안중근 의사가 처형된 곳은?","없음","뤼순 감옥","서대문 형무소","경성부 감옥","싱가포르",0,"안중근 의사는 뤼순 감옥에서 순국했습니다.",2,일제강점기,인물,,
한국사,"신라의 화백제도는 어느 시대의 제도인가?","없음","삼국시대","고려시대","조선시대","통일신라",0,"화백제도는 신라의 회의 제도입니다.",2,삼국시대,,,,
한국사,"임진왜란이 발발한 연도는?","없음","1592년","1598년","1590년","1600년",0,"임진왜란은 1592년에 발발했습니다.",2,조선시대,사건,,
한국사,"고려 시대의 대표적인 도자기는?","없음","고려청자","백자","분청사기","청화백자",0,"고려 시대의 대표적인 도자기는 고려청자입니다.",2,고려시대,문화재,,
한국사,"조선 후기 실학사상에 영향을 준 인물은?","없음","이황","이이","정약용","신사임당",2,"정약용은 조선 후기 실학자입니다.",3,조선시대,사상,,
한국사,"일제강점기 3.1운동이 일어난 연도는?","없음","1919년","1910년","1920년","1930년",0,"3.1운동은 1919년에 일어났습니다.",2,일제강점기,사건,,
한국사,"고구려의 전성기를 이끈 왕은?","없음","광개토대왕","장수왕","소수림왕","동명왕",1,"장수왕은 평양 천도를 통해 고구려의 전성기를 이끌었습니다.",3,삼국시대,인물,,
한국사,"조선 시대 최초의 서양식 병원은?","없음","제중원","세브란스","광혜원","영선사",0,"제중원은 조선 시대 최초의 서양식 병원입니다.",3,조선시대,,,,
한국사,"백제의 대표적인 문화재는?","없음","석굴암","첨성대","정림사지 5층석탑","광개토대왕릉비",2,"정림사지 5층석탑은 백제 문화재입니다.",2,문화재,삼국시대,,
한국사,"고려 시대의 외침을 막기 위해 만든 불상은?","없음","팔만대장경","초조대장경","재조대장경","대장경",0,"팔만대장경은 몽골 침입을 막기 위해 만들었습니다.",3,고려시대,문화재,,
한국사,"경복궁이 건설된 시기는?","없음","태조","세종","태종","세조",0,"경복궁은 조선 태조 때 건설되었습니다.",2,조선시대,,,,
한국사,"조선 시대 대표적인 화가 신윤복의 호는?","없음","단원","혜원","겸재","오원",1,"신윤복의 호는 혜원입니다.",3,조선시대,인물,,
한국사,"금속활자를 발명한 사람은?","없음","세종대왕","장영실","최윤덕","최윤",2,"최윤은 금속활자를 발명했습니다.",3,인물,,,,
한국사,"발해가 멸망한 시기는?","없음","926년","936년","918년","927년",0,"발해는 926년에 멸망했습니다.",3,발해,,,,
한국사,"삼국을 통일한 왕은?","없음","태조 왕건","무열왕","문무왕","선덕여왕",2,"문무왕이 삼국을 통일했습니다.",2,삼국시대,,,,
한국사,"독립운동가 윤봉길 의사가 폭탄을 던진 곳은?","없음","상하이 훙커우 공원","파리 앙리 공원","베이징 천안문","도쿄 히비야 공원",0,"윤봉길 의사는 상하이 훙커우 공원에서 폭탄을 던졌습니다.",2,일제강점기,인물,,
한국사,"고려의 대표적인 유교 교육기관은?","없음","성균관","주자감","국자감","향교",2,"고려의 대표적인 유교 교육기관은 국자감입니다.",3,고려시대,,,,
한국사,"조선시대 사대부의 정신을 담은 그림은?","없음","산수화","인물화","풍속화","사군자",3,"사군자는 사대부의 정신을 담은 그림입니다.",2,조선시대,문화,,
한국사,"고려 시대에 만들어진 최초의 화폐는?","없음","건원통보","상평통보","해동통보","동국통보",0,"건원통보는 고려 시대에 만들어진 최초의 화폐입니다.",3,고려시대,경제,,
한국사,"조선시대 '대동법'을 시행한 인물은?","없음","이이","허준","광해군","정조",2,"광해군이 대동법을 시행했습니다.",3,조선시대,사건,,
한국사,"대한민국 임시정부가 수립된 도시는?","없음","서울","상하이","만주","도쿄",1,"대한민국 임시정부는 상하이에 수립되었습니다.",2,일제강점기,사건,,
한국사,"고려 시대의 대표적인 문신은?","없음","김부식","김유신","강감찬","서희",0,"김부식은 삼국사기를 집필한 고려 시대의 문신입니다.",2,고려시대,인물,,
한국사,"조선시대 세금 제도인 영정법의 내용은?","없음","토지세 고정","특산물 납부","세금을 쌀로만 납부","군포 징수",0,"영정법은 토지세를 고정하는 제도입니다.",3,조선시대,제도,,
한국사,"우리나라 최초의 철도는?","없음","경인선","경부선","호남선","중앙선",0,"경인선은 우리나라 최초의 철도입니다.",2,근현대사,,,,
한국사,"조선시대 의학을 정리한 동의보감의 저자는?","없음","허준","이황","이이","장영실",0,"허준이 동의보감을 저술했습니다.",2,조선시대,인물,,